期号,日期,开奖号码
24020,2024-01-20,"['4', '0', '6']"
24019,2024-01-19,"['3', '1', '3']"
24018,2024-01-18,"['8', '5', '9']"
24017,2024-01-17,"['5', '5', '5']"
24016,2024-01-16,"['7', '0', '2']"
24015,2024-01-15,"['4', '7', '5']"
24014,2024-01-14,"['1', '8', '7']"
24013,2024-01-13,"['9', '8', '5']"
24012,2024-01-12,"['0', '8', '1']"
24011,2024-01-11,"['0', '8', '0']"
24010,2024-01-10,"['2', '8', '1']"
24009,2024-01-09,"['8', '1', '5']"
24008,2024-01-08,"['4', '0', '5']"
24007,2024-01-07,"['8', '8', '8']"
24006,2024-01-06,"['2', '8', '4']"
24005,2024-01-05,"['2', '5', '9']"
24004,2024-01-04,"['6', '6', '5']"
24003,2024-01-03,"['6', '6', '6']"
24002,2024-01-02,"['5', '4', '4']"
24001,2024-01-01,"['4', '0', '3']"
23351,2023-12-31,"['5', '7', '1']"
23350,2023-12-30,"['1', '9', '7']"
23349,2023-12-29,"['9', '2', '3']"
23348,2023-12-28,"['5', '9', '7']"
23347,2023-12-27,"['7', '4', '2']"
23346,2023-12-26,"['2', '5', '8']"
23345,2023-12-25,"['6', '7', '8']"
23344,2023-12-24,"['8', '0', '1']"
23343,2023-12-23,"['7', '3', '0']"
23342,2023-12-22,"['9', '7', '8']"
23341,2023-12-21,"['3', '4', '1']"
23340,2023-12-20,"['0', '8', '9']"
23339,2023-12-19,"['4', '8', '2']"
23338,2023-12-18,"['3', '8', '0']"
23337,2023-12-17,"['8', '4', '6']"
23336,2023-12-16,"['8', '2', '1']"
23335,2023-12-15,"['0', '4', '7']"
23334,2023-12-14,"['5', '8', '7']"
23333,2023-12-13,"['9', '8', '9']"
23332,2023-12-12,"['6', '6', '7']"
23331,2023-12-11,"['4', '0', '2']"
23330,2023-12-10,"['5', '3', '1']"
23329,2023-12-09,"['2', '8', '9']"
23328,2023-12-08,"['8', '8', '2']"
23327,2023-12-07,"['3', '1', '4']"
23326,2023-12-06,"['7', '9', '0']"
